,det,x,noun,adj,verb,adp,.,adv,pron,prt,conj,num
that,0.014228709440302426,0.0008319467554076539,0.0,0.0,0.0,0.04505333139694373,0.0,0.0007845774490024658,0.04520572134910825,0.0,0.0,0.0
any,0.009932094228009381,0.0,0.0,0.0,0.0,0.0,0.0,0.0002914144810580587,0.0,0.0,0.0,0.0
irregularities,0.0,0.0,2.956218405415792e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
took,0.0,0.0,0.0,0.0,0.001818828291668946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
place,0.0,0.004159733777038269,0.0016090274463763097,0.0,0.000492314424812647,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0,0.0,0.0,0.3329754641388882,0.0,0.0,0.0,0.0,0.0
further,0.0,0.0,0.0,0.001333773341033468,4.1026202067720585e-05,0.0,0.0,0.002107150863035194,0.0,0.0,0.0,0.0
in,0.0,0.0024958402662229617,4.223169150593988e-06,0.0,0.0,0.14808539478143,0.0,0.0,0.0,0.013266035376094337,0.0,0.0
term-end,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
presentments,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
city,0.0,0.0,0.0015161177250632419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
executive,0.0,0.0,0.0001520340894213836,0.00020625360943816518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
committee,0.0,0.0,0.0006925997406974141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
",",0.0,0.0008319467554076539,0.0,0.0,0.0,0.0,0.412989778906666,0.0,0.0,0.0,0.0,0.0
which,0.028194896566208126,0.0008319467554076539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
had,0.0,0.0008319467554076539,0.0,0.0,0.022352442426563097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
over-all,0.0,0.0,0.0,0.0004675081813931744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charge,0.0,0.0,0.0004096474076076169,0.0,9.572780482468136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deserves,0.0,0.0,0.0,0.0,0.00010256550516930146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
praise,0.0,0.0,5.4901198957721854e-05,0.0,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
and,0.0,0.0024958402662229617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7545948004951909,0.0
thanks,0.0,0.0,0.00010980239791544371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
atlanta,0.0,0.0,0.0001478109202707896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
for,0.0,0.0,1.2669507451781967e-05,0.0,0.0,0.06643429991447612,0.0,0.00011208249271463797,0.0,0.0,0.0,0.0
manner,0.0,0.0,0.00046454860656533877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
was,0.0,0.0,0.0,0.0,0.047939117116131504,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conducted,0.0,0.0,0.0,0.0,0.00037607351895410537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
september-october,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
term,0.0,0.0,0.00031673768629454917,0.0,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
been,0.0,0.0,0.0,0.0,0.013661725288550955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
charged,0.0,0.0,0.0,0.0,0.00036923581860948525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.0,0.0008319467554076539,0.0,0.0,0.0,0.03890529441190234,0.0,0.0009639094373458866,0.0,0.0,0.0,0.0
superior,0.0,0.0,4.223169150593988e-06,0.0005637598657976515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
court,0.0,0.0,0.0009333203822812715,0.0,1.3675400689240195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
judge,0.0,0.0,0.0002449438107344513,0.0,8.889010448006126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
durwood,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pye,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
to,0.0,0.0024958402662229617,4.223169150593988e-06,0.0,0.0,0.07638250149263365,0.0,2.2416498542927596e-05,0.0,0.5548508129355012,0.0,0.0
investigate,0.0,0.0,0.0,0.0,5.470160275696078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reports,0.0,0.0,0.00027028282563801526,0.0,9.572780482468136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
possible,0.0,0.0,0.0,0.004675081813931743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hard-fought,0.0,0.0,0.0,2.7500481258422024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
won,0.0,0.0,0.0,0.0,0.00043077512171106613,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayor-nominate,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ivan,0.0,0.0,1.6892676602375954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allen,0.0,0.0,8.446338301187977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jr.,0.0,0.0,0.00031251451714395516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
only,0.0,0.0,0.0,0.004262574595055414,0.0,0.0,0.0,0.02544272584622282,0.0,0.0,0.0,0.0
a,0.16495152087927473,0.0074875207986688855,0.0004856644523183087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relative,0.0,0.0,4.223169150593988e-06,0.0006187608283144955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handful,0.0,0.0,5.067802980712787e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
such,0.0,0.0,0.0,0.012471468250694387,0.0,0.0,0.0,0.0003362474781439139,0.0,0.012194032517420047,0.0,0.0
received,0.0,0.0,0.0,0.0,0.0010119796510037744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
considering,0.0,0.0,0.0,0.0,0.00015042940758164215,0.00016136580013231995,0.0,0.0,0.0,0.0,0.0,0.0
widespread,0.0,0.0,0.0,0.0003850067376179083,0.0,0.0,0.0,2.2416498542927596e-05,0.0,0.0,0.0,0.0
interest,0.0,0.0,0.0012796202526299785,0.0,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
number,0.0,0.0,0.001879310272014325,0.0,1.3675400689240195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voters,0.0,0.0,8.446338301187977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
size,0.0,0.0,0.0005110034672218726,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
this,0.039247086002310194,0.0,0.0,0.0,0.0,0.0,0.0,2.2416498542927596e-05,0.0,0.0,0.0,0.0
it,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19818706221672847,0.0,0.0,0.0
did,0.0,0.0,0.0,0.0,0.0049710081505388104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
find,0.0,0.0,4.223169150593988e-06,0.0,0.0021880641102784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
many,0.0,0.0008319467554076539,0.0,0.012540219453840443,0.0,0.0,0.0,0.00017933198834342077,0.0,0.0008040021440057173,0.0,0.0
georgia's,0.0,0.0,3.80085223553459e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
registration,0.0,0.0,8.868655216247377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laws,0.0,0.0,0.00035052303949930107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
are,0.0,0.0,0.0,0.0,0.028513210437065804,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outmoded,0.0,0.0,0.0,5.500096251684405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
or,0.0,0.0008319467554076539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11871885217280893,0.0
inadequate,0.0,0.0,0.0,0.00042625745950554135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
often,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007688859000224165,0.0,0.0,0.0,0.0
ambiguous,0.0,0.0,0.0,0.0002337540906965872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recommended,0.0,0.0,0.0,0.0,0.00030769651550790437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
legislators,0.0,0.0,8.446338301187977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,0.0,0.0,0.0008488569992693918,0.0,0.0004444505224003063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
have,0.0,0.0,0.0,0.0,0.022625950440347903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
these,0.012819839686373341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
studied,0.0,0.0,0.0,0.0,0.00041709972102182594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
revised,0.0,0.0,0.0,0.0,0.00010940320551392156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
end,0.0,0.0,0.0012880665909311667,0.0,0.0002529949127509436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modernizing,0.0,0.0,4.223169150593988e-06,0.0,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
improving,0.0,0.0,0.0,0.0,0.00010940320551392156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
them,6.125520669256887e-05,0.0008319467554076539,0.0,0.0,0.0,0.0,0.0,0.0,0.038819235976219904,0.0,0.0,0.0
commented,0.0,0.0,0.0,0.0,0.00011624090585854166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on,0.0,0.0016638935108153079,0.0,0.0,0.0,0.04094657178357619,0.0,0.0,0.0,0.016303376809004823,0.0,0.0
other,0.0,0.0,0.0,0.02040535709374914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
topics,0.0,0.0,4.223169150593989e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
among,0.0,0.0008319467554076539,0.0,0.0,0.0,0.0026141259621435833,0.0,0.0,0.0,0.0,0.0,0.0
purchasing,0.0,0.0,8.446338301187977e-06,0.0,0.00010256550516930146,0.0,0.0,0.0,0.0,0.0,0.0,0.0
departments,0.0,0.0,0.00010135605961425573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
well,0.0,0.0,6.334753725890983e-05,0.00019250336880895414,2.735080137848039e-05,0.0,0.0,0.013965478592243891,0.0,0.002501340003573343,0.0,0.0
operated,0.0,0.0,0.0,0.0,0.00017094250861550243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
follow,0.0,0.0,0.0,0.0,0.0005470160275696078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
generally,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028468953149518045,0.0,0.0,0.0,0.0
accepted,0.0,0.0,0.0,0.0,0.0005948799299819484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
practices,0.0,0.0,0.00021538162668029344,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inure,0.0,0.0,0.0,0.0,1.3675400689240195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best,0.0,0.0,1.6892676602375954e-05,0.003616313285482496,6.837700344620098e-06,0.0,0.0,0.0010759919300605246,0.0,0.0,0.0,0.0
both,0.005600476040463439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
governments,0.0,0.0,0.0002576133181862333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merger,0.0,0.0,8.446338301187977e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proposed,0.0,0.0,0.0,0.0,0.000567529128603468,0.0,0.0,0.0,0.0,0.0,0.0,0.0
however,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011723828737951133,0.0,0.0,0.0,0.0
believes,0.0,0.0,0.0,0.0,0.000280345714129424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08726415094339622
offices,0.0,0.0,0.00016470359687316557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
should,0.0,0.0,0.0,0.0,0.005559050380176139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be,0.0,0.0016638935108153079,0.0,0.0,0.03848257753952191,0.0,0.0,0.0,0.0,0.0,0.0,0.0
combined,0.0,0.0,0.0,0.0,0.0002735080137848039,0.0,0.0,0.0,0.0,0.0,0.0,0.0
achieve,0.0,0.0,0.0,0.0,0.000348722717575625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
greater,0.0,0.0,0.0,0.002502543794516404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
efficiency,0.0,0.0,0.00021115845752969943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reduce,0.0,0.0,0.0,0.0,0.000423937421366446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cost,0.0,0.0,0.0007728399545587,0.0,0.0002529949127509436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administration,0.0,0.0,0.0006714838949444442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
department,0.0,0.0,0.0009122045365283016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is,0.0,0.0008319467554076539,0.0,0.0,0.06575816421421148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lacking,0.0,0.0,0.0,0.0,0.00021880641102784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experienced,0.0,0.0,0.0,1.3750240629211012e-05,0.0003145342158525245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clerical,0.0,0.0,0.0,0.0001237521656628991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
personnel,0.0,0.0008319467554076539,0.00027872916393920327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as,0.0,0.0008319467554076539,0.0,0.0,0.0,0.04274580045505156,0.0,0.020780094149293882,0.0,0.0,0.0,0.0
result,0.0,0.0,0.0008066253077634518,0.0,0.00032137191619714456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
policies,0.0,0.0,0.00028717550224039123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
urged,0.0,0.0,0.0,0.0,0.00021880641102784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0
take,0.0,0.0,1.6892676602375954e-05,0.0,0.003083802855423664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steps,0.0,0.0,0.00034629987034870706,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0,0.0,4.223169150593989e-05,0.0,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0012289422228228507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
implementation,0.0,0.0,3.378535320475191e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.00020271211922851147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
title,0.0,0.0,0.0002998450096921732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
law,0.0,0.0,0.0012036032079192867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
also,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022326832548755886,0.0,0.0,0.0,0.0
outgoing,0.0,0.0,0.0,0.0001100019250336881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
next,0.0,0.0,0.0,0.0031900558259769546,0.0,0.00016136580013231995,0.0,0.0008966599417171038,0.0,0.0,0.0,0.0
legislature,0.0,0.0,0.00016470359687316557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
provide,0.0,0.0,0.0,0.0,0.0014427547727148405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enabling,0.0,0.0,0.0,0.0,8.889010448006126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
funds,0.0,0.0,0.00040120106930642893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re-set,0.0,0.0,0.0,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effective,0.0,0.0,0.0,0.0017325303192805873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.0,0.0,0.00036319254695108303,0.0,2.735080137848039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
so,0.0,0.0,0.0,0.0,0.0,0.0026706039921898955,0.0,0.026675633266083836,0.0,4.4666785778095405e-05,0.0,0.0
orderly,0.0,0.0,4.223169150593988e-06,0.00017875312817974313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
may,0.0,0.0008319467554076539,0.0004138705767582109,0.0,0.008649690935944422,0.0,0.0,0.0,0.0,0.0,0.0,0.0
effected,0.0,0.0,0.0,0.0,8.205240413544117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swipe,0.0,0.0,8.446338301187977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
at,0.0,0.0,0.0,0.0,0.0,0.034362847138177534,0.0,0.0,0.0,0.0,0.0,0.0
state,0.0,0.0,0.0032476170768067775,0.0,0.00013675400689240196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
welfare,0.0,0.0,0.0002238279649814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
department's,0.0,0.0,7.179387556009781e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handling,0.0,0.0,9.713289046366174e-05,0.0,9.572780482468136e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
federal,0.0,0.0,0.0,0.003355058713527487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
granted,0.0,0.0,0.0,0.0,0.00036923581860948525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
child,0.0,0.0,0.000764393616257512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
services,0.0,0.0,0.0005785741736313764,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foster,0.0,0.0,8.446338301187977e-06,1.3750240629211012e-05,2.0513101033860292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
homes,0.0,0.0,0.00025339014903563934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
one,0.0,0.0,0.0016765981527858136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1704009433962264
major,0.0,0.0,6.334753725890983e-05,0.0029838022165387893,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
items,0.0,0.0,0.0002829523330897972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
general,0.0,0.0,0.00046032543741474476,0.005087589032808074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
assistance,0.0,0.0,0.000358969377800489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
program,0.0,0.0008319467554076539,0.0016301432921292797,0.0,2.735080137848039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
but,0.0,0.0,0.0,0.0,0.0,0.0008552387407012958,0.0,0.0005828289621161174,0.0,0.0,0.1017680855791512,0.0
has,0.0,0.0008319467554076539,0.0,0.0,0.016068595809857228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seen,0.0,0.0,0.0,0.0,0.0014290793720256004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fit,0.0,0.0,3.80085223553459e-05,0.0001237521656628991,0.0003008588151632843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distribute,0.0,0.0,0.0,0.0,4.1026202067720585e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
through,0.0,0.0,0.0,0.0,0.0,0.0058333736747833665,0.0,0.0,0.0,0.0020546721457923886,0.0,0.0
all,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003160726294552791,0.0,0.09933893157048419,0.0,0.0
counties,0.0,0.0,0.00013514141281900763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
with,0.0,0.0,0.0,0.0,0.0,0.048538832679801844,0.0,2.2416498542927596e-05,0.0,0.0,0.0,0.0
exception,0.0,0.0,0.00016048042772257156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receives,0.0,0.0,0.0,0.0,0.00013675400689240196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
none,0.0,0.0,0.0003209608554451431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
money,0.0,0.0,0.0008657496758717677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jurors,0.0,0.0,1.6892676602375954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
they,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08334804873741833,0.0,0.0,0.0
realize,0.0,0.0,0.0,0.0,0.0004102620206772058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportionate,0.0,0.0,0.0,0.0001237521656628991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
distribution,0.0,0.0,0.00035052303949930107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
might,0.0,0.0,5.067802980712787e-05,0.0,0.0034598763743777694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disable,0.0,0.0,0.0,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
our,0.009914592740382932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
less,0.0,0.0,0.0,0.0027775486071006245,0.0,0.0,0.0,0.004012553239184039,0.0,0.0,0.0,0.0
populous,0.0,0.0,0.0,6.875120314605505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nevertheless,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014794889038332213,0.0,0.0,0.0,0.0
we,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06704338101124258,0.0,0.0,0.0
feel,0.0,0.0,4.6454860656533874e-05,0.0,0.000909414145834473,0.0,0.0,0.0,0.0,0.0,0.0,0.0
future,0.0,0.0,0.0005321193129748426,0.001196270934741358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive,0.0,0.0,0.0,0.0,0.0004854767244680269,0.0,0.0,0.0,0.0,0.0,0.0,0.0
some,0.012014771255556722,0.0,0.0,0.0,0.0,0.0,0.0,0.0005379959650302623,0.0,0.0,0.0,0.0
portion,0.0,0.0,0.0002449438107344513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
available,0.0,0.0,0.0,0.0033138079916398538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
failure,0.0,0.0,0.00036319254695108303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
do,0.0,0.0,8.446338301187977e-06,0.0,0.007063344455992561,0.0,0.0,0.0,0.0,0.0,0.0,0.0
will,0.0,0.0,0.00038853156185464697,0.0,0.013730102291997155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continue,0.0,0.0,0.0,0.0,0.00069744543515125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disproportionate,0.0,0.0,0.0,2.7500481258422024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burden,0.0,0.0,0.00016470359687316557,0.0,6.837700344620098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
taxpayers,0.0,0.0,8.868655216247377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ordinary's,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
under,0.0,0.0,0.0,5.500096251684405e-05,0.0,0.004873247163996063,0.0,0.0002914144810580587,0.0,0.0,0.0,0.0
fire,0.0,0.0,0.0005236729746736546,0.0,4.786390241234068e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
its,0.014639994399523959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appointment,0.0,0.0,0.00010557922876484971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
appraisers,0.0,0.0,4.223169150593988e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guardians,0.0,0.0,1.6892676602375954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
administrators,0.0,0.0,2.1115845752969944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
